# BUSCO version is: 6.0.0 
# The lineage dataset is: viridiplantae_odb10 (Creation date: 2024-01-08, number of genomes: 57, number of BUSCOs: 425)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
75785at33090	Complete	A_thaliana_g023413.t1	414.8	324	https://v10-1.orthodb.org/?query=75785at33090	P-loop containing nucleoside triphosphate hydrolase
76026at33090	Complete	A_thaliana_g012021.t1	505.0	331	https://v10-1.orthodb.org/?query=76026at33090	SET domain
76849at33090	Complete	A_thaliana_g009208.t1	702.4	464	https://v10-1.orthodb.org/?query=76849at33090	Mini-chromosome maintenance complex-binding protein
79950at33090	Complete	A_thaliana_g001692.t1	425.0	273	https://v10-1.orthodb.org/?query=79950at33090	Rhodanese-like domain
83749at33090	Complete	A_thaliana_g006613.t1	606.6	354	https://v10-1.orthodb.org/?query=83749at33090	Beta-ketoacyl synthase, C-terminal
84114at33090	Complete	A_thaliana_g009958.t1	630.5	346	https://v10-1.orthodb.org/?query=84114at33090	Protein of unknown function DUF4336
84264at33090	Complete	A_thaliana_g011163.t1	650.4	628	https://v10-1.orthodb.org/?query=84264at33090	WW domain
87347at33090	Complete	A_thaliana_g011993.t1	1174.8	735	https://v10-1.orthodb.org/?query=87347at33090	WD40 repeat
87734at33090	Complete	A_thaliana_g020050.t1	280.0	242	https://v10-1.orthodb.org/?query=87734at33090	Helicase, C-terminal
88295at33090	Complete	A_thaliana_g011335.t1	461.1	326	https://v10-1.orthodb.org/?query=88295at33090	Rab3-GAP regulatory subunit
88687at33090	Complete	A_thaliana_g010406.t1	491.7	322	https://v10-1.orthodb.org/?query=88687at33090	Rad9/Ddc1
88771at33090	Complete	A_thaliana_g004740.t1	552.4	389	https://v10-1.orthodb.org/?query=88771at33090	Tetratricopeptide-like helical domain superfamily
89796at33090	Complete	A_thaliana_g002910.t1	893.3	543	https://v10-1.orthodb.org/?query=89796at33090	Conserved oligomeric Golgi complex subunit 6
90240at33090	Complete	A_thaliana_g003991.t1	513.7	332	https://v10-1.orthodb.org/?query=90240at33090	Methyltransferase domain
90301at33090	Complete	A_thaliana_g000749.t1	684.7	372	https://v10-1.orthodb.org/?query=90301at33090	Pyridoxal phosphate-dependent transferase
90872at33090	Complete	A_thaliana_g003741.t1	640.8	339	https://v10-1.orthodb.org/?query=90872at33090	Cation efflux protein
92418at33090	Complete	A_thaliana_g017889.t1	578.0	293	https://v10-1.orthodb.org/?query=92418at33090	NmrA-like domain
92579at33090	Complete	A_thaliana_g014219.t1	484.1	316	https://v10-1.orthodb.org/?query=92579at33090	Ubiquitin-associated domain
